"PROBE_NAME","ACCNUM","SYMBOL","DESC","ACHROMOSOME","normal1","normal2","normal3","normal4","normal5","normal6","normal7","cancer1","cancer2","cancer3","cancer4","cancer5","cancer6","cancer7"
"1027_at","U41068","COL11A2","collagen, type XI, alpha 2",6,327.1,173.2,573.1,535.9,324.5,417.9,81.1,353.1,153.7,139.4,212.6,109,78.4,35.5
"1028_at","U43431","TOP3A","topoisomerase (DNA) III alpha",17,206.8,714,292.9,362.5,609.8,526.5,397.6,177.7,127.2,158.8,164.3,219.5,142.5,83
"1029_s_at","U07794","TXK","TXK tyrosine kinase",4,21.4,191.5,275.8,170.1,65.4,49.8,152.2,41.8,11,55.4,7.9,54.4,6.8,16.6
"102_at","Y09306","HIPK3","homeodomain interacting protein kinase 3",11,48.2,319.2,288.1,39.9,342.5,17.6,363.4,40.4,40.3,6.3,28.6,15.4,56.5,63.1
"1030_s_at","U07806","TOP1","topoisomerase (DNA) I",20,747.3,802.9,520.3,469.3,1487.9,707,1005.4,2016.2,1489.4,1801.5,304.9,831.3,1520.2,853.9
"1031_at","U09564","SRPK1","SRSF protein kinase 1",6,99.6,44.5,95.9,167.6,563.7,244.8,209.2,724.7,567.1,267.9,54.8,104.8,291.5,338.2
"1032_at","U11872","CXCR2","chemokine (C-X-C motif) receptor 2",2,359.6,2602.6,586.7,767.2,3125.8,2064.6,1860.2,503.7,453.7,430.8,395.2,430.6,449.9,440.7
"1033_g_at","U11872","CXCR2","chemokine (C-X-C motif) receptor 2",2,179.4,679.6,137.8,45.2,232.4,448.5,249.7,235.1,112.9,19.4,179.5,86.3,128,47.2
"1034_at","U14394","TIMP3","TIMP metallopeptidase inhibitor 3",22,138.6,1097.1,1217.5,336.2,1250.1,755.8,934,241.5,463.3,198.5,191.8,382.3,275.7,332
"1035_g_at","U14394","TIMP3","TIMP metallopeptidase inhibitor 3",22,197.7,1688.7,342.4,607.4,1868.5,1073.5,757.5,180.7,440.5,263.6,182.5,431.2,169.5,333.2
"1036_at","U14407","IL15","interleukin 15",4,33.4,136.6,21.5,167.3,56.9,291.2,92.8,4.8,3.6,18.8,89.6,64.2,19,31.6
"1037_at","U19180","BAGE","B melanoma antigen",21,14.9,149.6,763.7,327.6,571.4,654,221.5,5,4.4,2.9,10,40.1,7,18.4
"1038_s_at","U19247","IFNGR1","interferon gamma receptor 1",6,237.6,260.2,40.5,31.6,287.9,242.6,123.6,480.9,1342,1506.4,126.9,771.3,253.6,282.6
"1039_s_at","U22431","HIF1A","hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)",14,252,318.7,260.9,215.2,332.8,151.6,85.1,306.6,724,398,115.9,288.6,405.2,209.2
"103_at","Z19585","THBS4","thrombospondin 4",5,203.1,128.9,479.7,32.2,148.2,288.2,175.1,30,14.5,951.2,277.6,37.1,64.3,316.3
"1040_s_at","U23435","ABI2","abl-interactor 2",2,187.8,86,529.7,74.6,84.7,238.9,85.3,161.4,61.4,75.3,161.6,23.1,81.7,105.7
"1041_at","U26403","EFNA5","ephrin-A5",5,57.6,127.6,180.2,40.7,819.8,696.8,550.3,44.4,112.9,70.7,61.8,50.6,85.9,6.4
"1042_at","U27185","RARRES1","retinoic acid receptor responder (tazarotene induced) 1",3,5.1,9.1,34.7,6.2,58.5,101.5,14.8,31.3,3,9.3,15.6,42.7,3.8,6.1
"1043_s_at","U27516","RAD52","RAD52 homolog (S. cerevisiae)",12,62.2,238.7,255.9,394.6,329.3,196.3,359.5,101.9,93.7,115.2,88.3,132.8,77.6,55.7
"1044_s_at","U31556","E2F5","E2F transcription factor 5, p130-binding",8,388.3,512.1,594.2,168.4,906.1,342.2,127.4,1087.4,377,331.7,358,166.6,215.4,203.6
"1045_s_at","U33838","RELA","v-rel reticuloendotheliosis viral oncogene homolog A (avian)",11,18.9,41.7,86.6,157.8,75.3,130.5,104.7,42.8,167.3,7.7,4.3,83.1,133.3,11.2
"1046_at","U34605","IFIT5","interferon-induced protein with tetratricopeptide repeats 5",10,163.7,515.6,372.5,223.7,629.7,117.1,182.8,123,261.8,137.2,73.2,230.4,168.2,66
"1047_s_at","U37055","NA","NA","NA",614.2,600.5,96.7,406.8,284.1,186.4,268.8,364.7,1077.4,407.2,770.8,405.3,918.2,592.8
"1048_at","U38480","RXRG","retinoid X receptor, gamma",1,135.2,567.1,287.8,203.8,684,569.9,203.6,75.4,107.5,60.3,74.7,104.8,74.4,97.8
"1049_g_at","U38480","RXRG","retinoid X receptor, gamma",1,174.1,180.4,118.7,60.1,324.7,355.7,420.3,37.4,103.6,49.7,94,67.4,36,38.6
"104_at","Z21966","POU6F1","POU class 6 homeobox 1",12,181.3,582.2,1809.7,321.3,867.8,475.4,565.8,135,139.3,63.7,42.2,186.5,127.3,77.1
"1050_at","U06452","MLANA","melan-A",9,6.5,12.8,19.3,40.7,26.3,66.1,99.8,6.3,2.9,21.7,32.1,61,3.9,11.1
"1051_g_at","U06452","MLANA","melan-A",9,124.5,363.3,150.1,282.2,1116.7,721.6,584.1,17.5,86.4,56.6,25.5,34.7,58.9,52.6
"1052_s_at","M83667","CEBPD","CCAAT/enhancer binding protein (C/EBP), delta",8,654.2,631.4,58,64.5,275.4,277,387.2,352.9,336.3,809.5,593.5,6372.4,281.8,176
"1053_at","M87338","RFC2","replication factor C (activator 1) 2, 40kDa",7,74.6,38.3,328.6,108.9,22.5,33.1,47.4,128.9,133.6,35.6,56.2,11,116.8,117.8
"1054_at","M87339","RFC4","replication factor C (activator 1) 4, 37kDa",3,207.1,172.6,40.5,23.4,365.7,104.4,290.7,390.7,482.4,120,108.6,11.2,181.9,89.7
"1055_g_at","M87339","RFC4","replication factor C (activator 1) 4, 37kDa",3,1804.5,134.4,44.5,301.4,545.8,378.9,354.5,3739.5,1416.8,822.6,1819.9,196.3,755.5,372.6
"1056_s_at","M90391","IL16","interleukin 16",15,72.3,375.4,65.6,11.6,523.9,299,225.3,43.5,69.9,73.4,37.6,74,20.7,10.2
"1057_at","M97815","CRABP2","cellular retinoic acid binding protein 2",1,149,661.6,320.9,217.2,570.2,417.2,234.1,120.8,157.6,170.4,69.6,150.5,100.1,83.9
"1058_at","S69790","WASF3","WAS protein family, member 3",13,112.4,72.3,178.1,32.2,134.6,100.7,247.1,355.8,612.5,610.5,105.7,574,1364.3,61.1
"1059_at","S76475","NTRK3","neurotrophic tyrosine kinase, receptor, type 3",15,34.8,450.7,79.8,24.7,613.9,354.8,338.6,42.2,53,14.2,35.9,82.4,25.2,62.1
"105_at","Z30425","NR1I3","nuclear receptor subfamily 1, group I, member 3",1,47,367.9,69.4,63.6,402,124,204.9,32.1,27.7,6.4,5.3,49.3,70.3,50.7
"1060_g_at","S76475","NTRK3","neurotrophic tyrosine kinase, receptor, type 3",15,52.4,133.8,378.9,213.6,258.2,420.8,389.2,125.5,117.3,23.6,101,244.5,67,96.9
"1061_at","U00672","IL10RA","interleukin 10 receptor, alpha",11,32.6,499.8,159.7,277.7,192,213.5,304,124.4,118.7,118,45.9,210.8,59,31.6
"1062_g_at","U00672","IL10RA","interleukin 10 receptor, alpha",11,219.8,92.7,2158.6,176.2,364.9,290.2,95.3,16.3,57.8,159.5,122.6,349.1,32.5,94.5
"1063_s_at","U02566","TYRO3","TYRO3 protein tyrosine kinase",15,583.1,175.3,235.1,191.7,220.6,527.1,235.5,678.3,48,312.3,453.1,59.6,607.6,427
"1064_at","U02680","TWF1","twinfilin, actin-binding protein, homolog 1 (Drosophila)",12,251.4,90.9,220.8,236.7,176.7,213.7,192.1,316.4,998.2,576.2,117.5,210.7,645.7,506.5
"1065_at","U02687","FLT3","fms-related tyrosine kinase 3",13,90.5,399.8,389.6,336.2,1084.1,294.6,187.6,75.4,65.5,100.7,106.3,187.4,106.2,149.3
"1066_at","U03187","IL12RB1","interleukin 12 receptor, beta 1",19,69,371.7,537,19.1,165.5,111.4,65.3,8.2,30.6,47.3,37.4,47.3,87.1,62.2
"1067_at","U03858","FLT3LG","fms-related tyrosine kinase 3 ligand",19,114.5,192.2,363.1,184.1,590.4,180.8,272.2,39.5,45.3,109.5,79.5,178.7,58.3,69.6
"1068_g_at","U03858","FLT3LG","fms-related tyrosine kinase 3 ligand",19,53.5,272,265.4,51,230.5,146.8,154.9,74.2,195.2,57.8,29.7,43.2,101.9,109.2
"1069_at","U04636","PTGS2","prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)",1,49.7,62.2,75.6,26.3,580.6,24.1,63.2,215.8,31.6,4.7,4.3,690.8,7,33.2
"106_at","Z35278","RUNX3","runt-related transcription factor 3",1,1993.9,93.7,117.3,758.7,114.2,218.4,1151.8,1756,1778.2,393.4,1056.3,61.8,2210.5,1190.4
"1070_at","M76766","GTF2B","general transcription factor IIB",1,142,166.8,986.9,323.2,372.2,262.2,84.2,152.8,299.2,178.1,86.8,156.6,246.4,195.3
"1071_at","M77810","GATA2","GATA binding protein 2",3,349.1,121.1,167.1,48,180.5,80.2,625.4,182.9,284.7,236,189.2,196,323.6,460.6
"1072_g_at","M77810","GATA2","GATA binding protein 2",3,209.4,1307.4,1531.3,354.6,1099.8,1086.3,650.6,200.9,185.3,102.1,137.1,399.8,234.7,257.6
"1073_at","M81601","TCEA1","transcription elongation factor A (SII), 1",8,882.5,632.6,302.1,523.7,783.6,613.8,478.7,1467.3,1671.3,2182.1,602.8,1017.3,1497.4,645.4
"1074_at","M28209","RAB1A","RAB1A, member RAS oncogene family",2,108.5,36.8,211.4,77.6,119.5,21.1,56.4,183.4,518,163,67.6,119.9,419.9,650.4
"1075_f_at","M28585","IFNA16","interferon, alpha 16",9,36.5,135.3,88.7,307.4,974.6,645.4,496.6,68.5,39.3,13.1,80.6,13.1,25.3,129.4
"1076_at","M28983","IL1A","interleukin 1, alpha",2,36.3,132.5,29.4,40.6,57.3,337.7,238.9,6.1,27.1,23.9,12.7,63.3,80.3,114.7
"1077_at","M29474","RAG1","recombination activating gene 1",11,6.2,284.2,51.9,198.4,80.6,22.6,58.5,4.6,3.2,3.2,11.1,9.5,8.1,13.4
"1078_at","M31661","PRLR","prolactin receptor",5,15.7,90.7,245.2,14.4,42.9,122.8,63.4,7.9,10.7,6.5,5,13.6,3.2,37
"1079_g_at","M31661","PRLR","prolactin receptor",5,55.7,497.4,106,119.1,308.4,260.7,564.1,22.4,44.3,26.2,14.8,87.9,55,55.3
"107_at","Z95624","RAB40AL","RAB40A, member RAS oncogene family-like","X",150,47.3,1987,339,191.5,153.9,116.2,25.2,32,20.9,103.6,73.4,25.7,28.7
"1080_s_at","M31667","CYP1A2","cytochrome P450, family 1, subfamily A, polypeptide 2",15,4.6,41.7,42.1,36.9,58.2,26,31.6,9.3,2.6,8.3,6,9.6,12.6,8.7
"1081_at","M33764","ODC1","ornithine decarboxylase 1",2,1026.8,402.2,916.1,366.7,465.6,480.2,440,3698.5,3907.2,712.3,623.6,1337,2926,3583.9
"1082_at","M34667","PLCG1","phospholipase C, gamma 1",20,141.4,89.1,147.8,134.3,425.3,198.7,77.2,116.3,286.8,77.3,12.6,28,176.1,143.3
"1083_s_at","M35093","MUC1","mucin 1, cell surface associated",1,254.6,1221.1,1615,658.1,1628.9,670.4,742.2,154.3,133.9,146.1,192.7,419.3,141.4,156.2
"1084_at","M35296","ABL2","v-abl Abelson murine leukemia viral oncogene homolog 2",1,22.7,109.9,31.8,26.6,67.5,66,79.9,17.1,21.6,21.7,28.8,18.8,8.9,126.5
"1085_s_at","M37238","PLCG2","phospholipase C, gamma 2 (phosphatidylinositol-specific)",16,341.3,989.2,1124,400,278.1,738.5,632.5,362.5,193.3,189.9,149.3,448.5,237.5,120.3
"1086_at","M59941","CSF2RB","colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)",22,25.7,91.2,74.7,70.2,138.7,86.1,52.4,35.3,13.6,19.8,18.7,23.6,14.6,48.8
"1087_at","M60459","EPOR","erythropoietin receptor",19,534.7,85.8,92.3,29.8,119.1,233.2,302.4,9.7,242.1,175.1,9.6,323.7,647.3,234.7
"1088_at","M61176","BDNF","brain-derived neurotrophic factor",11,38.7,91.9,63.9,245.7,41.3,91.6,23.1,4.5,8.7,62.1,7.2,66.1,49.9,72.5
"1089_i_at","M64936","NA","NA","NA",387.5,1113.3,2986.5,144.7,99.6,73.9,82.8,264.5,8.5,21.5,288.5,32.9,173,322.3
"108_g_at","Z95624","NA","NA","NA",195.5,455.7,134.4,97.5,451.7,255.5,242,158.7,692,69.8,75.4,48.4,708.9,250.6
"1090_f_at","M64936","NA","NA","NA",59,389,485.6,315.1,726.4,365,510.4,11.9,51.3,63.7,28.1,182.2,36.5,66.4
"1091_at","M65066","PRKAR1B","protein kinase, cAMP-dependent, regulatory, type I, beta",7,1255,2470.4,437.8,3512.4,1332.1,2549.3,1806.4,1103.2,1325.4,1194.6,1703.6,1190,1008.4,735
"1092_at","M65199","EDN2","endothelin 2",1,1400.2,1943,528.7,1912.7,909.5,533.3,533.2,926.3,979.9,752,1792.5,165.2,165.4,218.3
"1093_at","M65254","PPP2R1B","protein phosphatase 2, regulatory subunit A, beta",11,13.8,9.2,138.5,260,130.9,88,74.1,41.2,48.3,52.6,28.3,9,23,79.2
"1094_g_at","M65254","PPP2R1B","protein phosphatase 2, regulatory subunit A, beta",11,74.5,212.5,103.9,195.1,485,170,142.2,192.3,175.4,164.5,119,56.6,69.2,85.7
"1095_s_at","M73239","HGF","hepatocyte growth factor (hepapoietin A; scatter factor)",7,3.8,18.7,128.7,117.3,46,32.4,13.3,14.6,15.9,3.2,3,10,0.6,39.3
"1096_g_at","M28170","CD19","CD19 molecule",16,31.1,637.2,764.6,499,1268.6,1055.6,761.4,113.8,140.9,130.5,262.4,349,332.9,427.3
"1097_s_at","L31584","CCR7","chemokine (C-C motif) receptor 7",17,206.6,932.6,1004.5,188.7,1245.9,423.7,314.6,128.2,87.8,82.6,76.8,105.8,49.2,82.8
"1098_at","L36051","THPO","thrombopoietin",3,7,159.8,480.5,31.5,39.8,42.2,17.6,6.2,3.9,4.5,13.5,17.5,7.5,62.3
"1099_s_at","L38503","NA","NA","NA",38.5,98.5,140.6,48.4,75.5,113,92.5,91.3,23.5,459.1,30.3,248.9,268.5,114.4
"109_at","Z97074","RABEPK","Rab9 effector protein with kelch motifs",9,799.7,258.1,528.8,416.7,146.9,239.4,263.4,1319.4,884.2,642.1,578.8,416.1,696.5,368.2
"1100_at","L76191","IRAK1","interleukin-1 receptor-associated kinase 1","X",428.6,154.1,155.2,605.7,78.6,90.3,554.2,600.2,612.6,243.8,468,684.2,329,240.3
"1101_at","L77864","APBB1","amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)",11,588.7,569.5,1131.1,116.3,847,959.9,887.4,336.4,554.5,266,248.6,524.7,973,208.6
"1102_s_at","M10901","NR3C1","nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)",5,138.2,46.1,148.5,19.7,187.2,196.3,47.3,20.5,103.9,91.6,25.6,224,123.4,52.8
"1103_at","M11567","ANG","angiogenin, ribonuclease, RNase A family, 5",14,9.8,81.9,112,13.1,62.9,93.4,46.8,7,13.1,5.2,13.9,275.1,137.1,17.6
"1104_s_at","M11717","NA","NA","NA",4433,131.7,49.9,61.5,125.6,42.4,252.3,10488.2,714.4,4477,474.7,716.5,1493.9,1890
"1105_s_at","M12886","NA","NA","NA",395,2393.4,2649.4,767.5,3466.3,1586.3,2343.2,590.8,402.9,908.2,645.5,1280.2,247.1,222.8
"1106_s_at","M12959","TRAC","T cell receptor alpha constant",14,312.2,1110.3,1594.1,906.5,1238.8,1063.7,572,358.9,156.4,427.9,211.7,531.8,251.4,155.1
"1107_s_at","M13755","ISG15","ISG15 ubiquitin-like modifier",1,836.9,1269.7,1269.6,1261.4,893,834.4,2769.9,1379.1,672.6,737.3,962.2,2011.2,626.3,664
"1108_s_at","M18391","EPHA1","EPH receptor A1",7,15.1,56.8,128.7,86.4,80.2,58.5,77,20.4,15.2,10.4,36.7,67.4,14.5,120.5
"1109_s_at","M19989","PDGFA","platelet-derived growth factor alpha polypeptide",7,124,160.6,163.7,144.4,172.3,59.4,99.4,26.4,36.9,11.9,57.8,57.9,16.6,19.1
"110_at","X96753","CSPG4","chondroitin sulfate proteoglycan 4",15,92.1,637.8,329,316.7,830.4,447.2,1407.1,170.9,109.4,108.1,108.9,543.1,316.8,269.2
"1110_at","M21624","TRDV2","T cell receptor delta variable 2",14,100,225.4,508.1,985,433.9,311.2,386.7,82.7,125.5,123.9,1538.3,191.3,104.5,67.5
"1111_at","M22092","NCAM1","neural cell adhesion molecule 1",11,38,88,830.1,90.7,229.5,432.5,110.4,62.3,13.2,11.9,60.4,29.8,11.1,53.6
"1112_g_at","M22092","NCAM1","neural cell adhesion molecule 1",11,98.7,533,720.6,363.6,578.6,413.7,259.3,97,78,21.1,92.5,82.9,123.7,20.8
"1113_at","M22489","BMP2","bone morphogenetic protein 2",20,10.3,46,39.9,59.3,87.4,13.6,50.5,19.9,7.8,2.4,4.5,372,12.5,14.6
"1114_at","M22490","BMP4","bone morphogenetic protein 4",14,7.8,500.6,468.8,100.2,449.2,579.9,323.8,70.3,87.9,87.5,59.9,150,18.8,37.4
"1115_at","M25897","PF4","platelet factor 4",4,16.1,496.6,125,399.3,834,129.5,358.7,125.5,153.5,93.5,21.3,169.3,97.5,110.7
"1116_at","M28170","NA","NA","NA",222.6,2061.7,419.6,477.3,3048.5,2880.7,1516.4,239.1,264.4,210.2,290.1,684.8,641,1217.3
"1117_at","L27943","CDA","cytidine deaminase",1,154.1,468.9,393.2,161,385.8,68.6,232.5,232.9,122.3,77.6,107.9,38,102.3,213.2
"1118_at","L28175","PTGER4","prostaglandin E receptor 4 (subtype EP4)",5,195,623.6,510.7,372.9,527.9,679,552.1,80.4,91,87.8,60.3,241.5,145.2,29.9
"1119_at","J05249","RPA2","replication protein A2, 32kDa",1,221.9,326.4,452.2,183.5,172.2,229.4,361.3,1017.1,1143.4,627.4,237.6,224.7,1298.2,543.2
"111_at","Y08200","RABGGTA","Rab geranylgeranyltransferase, alpha subunit",14,264.2,50.8,947,455.3,179.6,191.3,36,303.3,730.3,89.6,213.5,247.5,497,328
"1120_at","J05459","GSTM3","glutathione S-transferase mu 3 (brain)",1,798.9,1047,741.1,1205.7,425.9,264.8,644.7,148.9,407.4,248.7,607.5,258.2,1050.4,235.4
"1121_g_at","J05459","GSTM3","glutathione S-transferase mu 3 (brain)",1,512.9,98.3,119.4,42.3,140.7,43.6,131.5,134.5,222.2,154.4,378,56.9,1010.6,160.8
"1122_f_at","K03183","NA","NA","NA",444.5,1882.2,561.7,865.2,1654.3,2393.5,1369.9,355.9,568.2,388.7,515.5,737.7,502.7,704.4
"1123_at","L01406","GHRHR","growth hormone releasing hormone receptor",7,201.4,229.7,158.8,56.9,405.8,281.8,186.9,63.4,42.8,43,71.8,60.1,33.4,59.7
"1124_at","L04731","MLL","myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)",11,144.9,231.6,220.1,629.1,253.1,483.9,189.4,113.9,219.6,146.2,205.7,206.3,790.4,614.9
"1125_s_at","L05424","CD44","CD44 molecule (Indian blood group)",11,13.1,281,39.1,145.7,207.7,482.1,339.7,70.9,4.5,10.4,35.6,177.3,52.8,66.9
"1126_s_at","L05424","CD44","CD44 molecule (Indian blood group)",11,44.6,207.5,521.2,107.5,145,49,50.4,107.1,6.2,88.8,136.2,367,56.5,124.7
"1127_at","L07597","RPS6KA1","ribosomal protein S6 kinase, 90kDa, polypeptide 1",1,385.3,1789.5,999.3,1213.3,2449.8,2245.5,1049.5,1002.5,461.9,540.1,909.2,1811.3,515.1,464.6
"1128_s_at","L09230","CCR1","chemokine (C-C motif) receptor 1",3,175.9,182.3,631.6,567.7,264.9,165.8,119.6,41.4,136,108.7,148.8,107.4,31.8,53.1
"1129_at","L11239","GBX1","gastrulation brain homeobox 1",7,25,93.6,125.9,75.7,89.9,74,66.8,18.5,28.7,16.1,24.7,29,21,38.7
"112_g_at","X07024","TAF1","TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250kDa","X",36.6,13.5,1046.4,127,44.3,200.2,39.9,31.1,18.1,6.1,10.5,61.2,2.5,6.7
"1130_at","L11284","MAP2K1","mitogen-activated protein kinase kinase 1",15,263.7,78.8,1115,45.7,184.7,275.2,517.2,644.2,527.8,437.4,186.3,663.7,690.3,846.1
"1131_at","L11285","MAP2K2","mitogen-activated protein kinase kinase 2",19,666.5,644.9,2071.1,3020.2,876,1300.4,1018.4,1056.6,1336.9,613.5,652,798.1,1575.8,1305.9
"1132_s_at","L12060","RARG","retinoic acid receptor, gamma",12,39,207.1,174,340.4,237.3,145.8,168.9,39.6,127.7,132.4,62,40.2,189.5,93.7
"1133_at","L12701","EN2","engrailed homeobox 2",7,36.3,41.1,604.5,182.6,77.1,236.4,57.7,24.9,18.5,7.2,33.7,48.5,26.4,77.5
"1134_at","L13738","TNK2","tyrosine kinase, non-receptor, 2",3,1181.1,2367.9,1876.2,2143.6,2250.5,2578.2,2171.3,1107.8,1141.8,1036.3,2389.8,1076.8,625.7,930
"1135_at","L15388","GRK5","G protein-coupled receptor kinase 5",10,3188.9,973.5,567.7,3455.5,256.7,142.3,389.5,1881.4,1560.2,1481.5,2054.2,2823.3,2000,2914.8
"1136_at","L16991","DTYMK","deoxythymidylate kinase (thymidylate kinase)",2,1277.7,310.1,317.4,1362.3,1061.6,827.8,711.5,1128.1,315.8,307.8,916.2,706.7,460.1,433.4
"1137_at","L20852","SLC20A2","solute carrier family 20 (phosphate transporter), member 2",8,81.3,171.3,239.4,26.5,170.1,177.9,42.2,135.9,539.8,332.5,62.5,194.5,120.7,21.7
"1138_at","L20859","SLC20A1","solute carrier family 20 (phosphate transporter), member 1",2,1018.4,272.4,137.1,1282.9,345.8,227,649.6,2314.4,1014.3,1619.9,1283.4,867.5,546.5,566.1
"1139_at","L22075","GNA13","guanine nucleotide binding protein (G protein), alpha 13",17,6.2,17.9,80.4,16.9,80.2,74.6,35.8,8.7,50.7,5.6,9,24.2,14.6,17.7
